ranking,sknich,pygreg,Arbysguy,PenguinProphet,BlindManBaldwin,ThaddeusJP,Landsdownestreet,TangerineDiesel,milkchococurry,hurricane,morespikes,staub81,yoda133113,famouslastwords,wannaknowmyname,Sexterminator,preludeoflight,nickmangoldsbeard,sosuhme,analogWeapon,allsecretsknown,SPACE_LAWYER,newBreed,One_Half_Hamster,I_have_no_throwaway,ThatChrisDodge,Naly_D,iltat_work,smacksaw,Skarmotastic,philo13181,whirledworld
1,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs,Chiefs
2,Lions,Lions,Falcons,Broncos,Packers,Lions,Steelers,Lions,Packers,Lions,Broncos,Broncos,Packers,Broncos,Lions,Packers,Lions,Broncos,Falcons,Lions,Falcons,Falcons,Falcons,Packers,Steelers,Falcons,Falcons,Broncos,Steelers,Falcons,Falcons,Steelers
3,Bills,Bills,Packers,Packers,Steelers,Falcons,Broncos,Broncos,Patriots,Bills,Lions,Falcons,Falcons,Packers,Broncos,Lions,Falcons,Lions,Steelers,Packers,Packers,Lions,Lions,Steelers,Packers,Packers,Packers,Falcons,Lions,Lions,Packers,Packers
4,Falcons,Broncos,Broncos,Falcons,Bills,Packers,Falcons,Falcons,Falcons,Rams,Falcons,Lions,Broncos,Lions,Cowboys,Steelers,Packers,Falcons,Packers,Falcons,Lions,Packers,Steelers,Patriots,Falcons,Steelers,Lions,Lions,Falcons,Packers,Broncos,Falcons
5,Packers,Packers,Patriots,Lions,Lions,Broncos,Lions,Steelers,Seahawks,Packers,Patriots,Patriots,Lions,Steelers,Eagles,Broncos,Steelers,Bills,Broncos,Steelers,Eagles,Broncos,Eagles,Falcons,Patriots,Lions,Broncos,Steelers,Broncos,Broncos,Steelers,Rams
6,Broncos,Falcons,Lions,Eagles,Falcons,Steelers,Packers,Packers,Lions,Falcons,Cowboys,Steelers,Patriots,Falcons,Bills,Falcons,Broncos,Packers,Lions,Patriots,Broncos,Steelers,Broncos,Lions,Broncos,Bills,Steelers,Packers,Eagles,Eagles,Lions,Bills
7,Eagles,Eagles,Steelers,Steelers,Panthers,Patriots,Eagles,Rams,Raiders,Eagles,Steelers,Raiders,Eagles,Eagles,Falcons,Bills,Eagles,Eagles,Eagles,Bills,Raiders,Patriots,Patriots,Broncos,Rams,Broncos,Bills,Patriots,Packers,Steelers,Patriots,Jaguars
8,Steelers,Texans,Raiders,Patriots,Patriots,Eagles,Panthers,Panthers,Titans,Panthers,Vikings,Packers,Redskins,Rams,Patriots,Eagles,Cowboys,Steelers,Redskins,Broncos,Seahawks,Eagles,Bills,Eagles,Lions,Eagles,Eagles,Cowboys,Patriots,Patriots,Eagles,Saints
9,Patriots,Rams,Eagles,Bills,Texans,Panthers,Rams,Bills,Steelers,Steelers,Raiders,Seahawks,Bills,Bills,Texans,Panthers,Raiders,Panthers,Texans,Eagles,Patriots,Bills,Packers,Cowboys,Seahawks,Rams,Patriots,Rams,Seahawks,Rams,Panthers,Lions
10,Panthers,Steelers,Panthers,Panthers,Broncos,Bills,Patriots,Raiders,Broncos,Patriots,Seahawks,Bills,Steelers,Seahawks,Panthers,Texans,Bills,Patriots,Rams,Raiders,Cowboys,Panthers,Rams,Raiders,Panthers,Cowboys,Cowboys,Seahawks,Bills,Bills,Cowboys,Texans
